10/29 18:38:57.871  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,0
10/29 19:32:06.447  SPELL_AURA_APPLIED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,185365,"Hunter's Mark",0x1,DEBUFF
10/29 19:32:06.622  SPELL_DAMAGE,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,228598,"Ice Lance",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,170581,-1,16,0,0,0,nil,nil,nil
10/29 19:32:06.622  SPELL_AURA_REFRESH,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,195391,"Jouster",0x1,BUFF
10/29 19:32:06.741  SPELL_CAST_START,Creature-0-3778-1220-1711-110715-0000766468,"Archmage Modera",0x2111,0x0,0000000000000000,nil,0x80000000,0x80000000,228673,"Flurry",0x10
10/29 19:32:06.741  SPELL_DAMAGE,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,185358,"Arcane Shot",0x40,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,390221,-1,64,0,0,0,1,nil,nil
10/29 19:32:06.741  SPELL_AURA_REFRESH,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,190909,"Mark of the Claw",0x1,BUFF
10/29 19:32:06.741  SPELL_ENERGIZE,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,215107,"Critical Focus",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,0,5,2,0
10/29 19:32:06.741  SPELL_AURA_APPLIED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,204090,"Bullseye",0x1,BUFF
10/29 19:32:06.741  SPELL_AURA_APPLIED_DOSE,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,199803,"True Aim",0x1,DEBUFF,2
10/29 19:32:07.166  SWING_DAMAGE,Creature-0-3778-1220-1711-116355-00007661A2,"Gnoll",0x2112,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,99757,-1,1,0,0,0,1,nil,nil
10/29 19:32:07.553  SPELL_AURA_APPLIED,Creature-0-3778-1220-1711-110715-0000766468,"Archmage Modera",0x2111,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,220138,"Frostbolt",0x10,DEBUFF
10/29 19:32:07.553  SPELL_DAMAGE,Creature-0-3778-1220-1711-110715-0000766468,"Archmage Modera",0x2111,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,220138,"Frostbolt",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,25261,-1,16,0,0,0,nil,nil,nil
10/29 19:32:07.553  SPELL_AURA_APPLIED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,223138,"Marking Targets",0x1,BUFF
10/29 19:32:07.660  SPELL_ENERGIZE,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,187675,"Arcane Shot",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,0,8,2,0
10/29 19:32:07.660  SPELL_CAST_SUCCESS,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,185358,"Arcane Shot",0x40,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/29 19:32:07.919  SPELL_AURA_REMOVED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,199803,"True Aim",0x1,DEBUFF
10/29 19:32:07.919  SPELL_AURA_REMOVED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,185365,"Hunter's Mark",0x1,DEBUFF
10/29 19:32:07.919  SPELL_AURA_REMOVED,Creature-0-3778-1220-1711-110715-0000766468,"Archmage Modera",0x2111,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,220138,"Frostbolt",0x10,DEBUFF
